Country,Continent,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Sao Tome and Principe,Africa,16.46,16.8,17.01,16.7,16.56,17.32,17.48,17.14,17.21,17.16
Saudi Arabia,Asia,40.07,39.92,41.55,40.33,37.08,41.37,39.29,41.37,41.15,40.09
Senegal,Africa,21.19,21.51,22.01,21.42,21.69,22.43,22.1,22.52,22.32,22.11
Serbia,Europe,27.11,28.41,25.83,23.98,24.2,23.38,22.4,23.0,23.85,20.2
Seychelles,Africa,12.78,12.1,12.73,12.96,11.44,11.8,13.13,12.14,11.8,12.23
Sierra Leone,Africa,17.29,17.42,18.05,17.51,17.94,18.26,18.01,17.95,17.82,17.82
Singapore,Asia,13.13,13.08,11.82,12.91,12.98,12.61,12.03,11.18,10.34,10.54
Slovakia,Europe,20.58,21.6,19.37,18.36,18.57,18.12,17.13,17.58,18.2,15.15
Slovenia,Europe,18.57,19.51,17.85,17.06,17.06,16.68,15.93,16.16,16.81,13.36
Solomon Islands,Oceania,2.34,2.64,2.64,2.48,2.84,2.85,2.84,2.76,2.56,2.86
Somalia,Africa,7.55,7.55,7.56,7.57,7.57,7.58,7.6,7.62,7.64,7.65
South Africa,Africa,17.47,17.46,17.48,17.62,17.77,17.88,17.87,18.05,18.15,18.26
South Sudan,Africa,10.77,11.0,11.02,10.97,10.89,11.04,11.12,10.98,10.95,10.45
Spain,Europe,12.47,12.84,11.61,10.98,10.12,10.88,9.85,9.99,9.88,9.14
Sri Lanka,Asia,18.32,17.2,18.14,18.49,16.57,17.1,19.5,17.03,16.81,17.38
Sudan,Africa,11.09,11.19,11.21,11.11,10.99,11.19,11.15,11.22,11.08,11.01
Suriname,America,5.98,5.9,6.8,6.41,6.7,7.31,7.62,7.73,6.82,6.81
Sweden,Europe,7.17,7.41,6.6,6.31,6.03,6.1,5.64,5.66,5.82,5.7
Switzerland,Europe,12.45,12.68,11.44,11.1,10.24,10.53,9.72,9.63,9.77,8.73
Syrian Arab Republic,Asia,20.66,20.37,20.39,20.23,19.95,20.42,20.21,20.45,20.68,20.69
Tajikistan,Asia,42.51,49.26,48.38,44.21,44.22,43.86,42.52,40.92,38.93,38.18
Thailand,Asia,22.69,21.27,22.89,24.18,21.49,22.07,24.16,21.45,21.55,22.75
Timor-Leste,Asia,8.18,8.09,8.87,9.02,8.37,8.41,9.2,8.42,8.94,9.02
Togo,Africa,21.03,21.15,21.23,21.18,21.28,21.31,21.45,21.56,21.65,21.71
Tonga,Oceania,4.17,4.15,4.2,4.11,4.23,4.45,4.29,4.06,3.86,4.22
Trinidad and Tobago,America,7.68,7.06,7.56,7.69,7.78,8.23,8.26,8.66,8.21,7.93
Tunisia,Africa,17.92,17.39,17.34,17.47,18.15,17.72,18.44,17.73,18.27,17.92
Türkiye,Asia,22.29,21.87,21.41,21.69,21.52,21.58,21.26,21.53,21.86,21.83
Turkmenistan,Asia,19.67,22.58,21.48,22.04,19.36,19.36,20.27,18.2,18.37,17.35
Tuvalu,Oceania,2.96,2.85,2.95,2.97,2.7,2.79,2.61,2.56,2.52,2.59
Uganda,Africa,19.76,19.88,20.14,20.01,19.86,19.98,20.13,19.73,20.01,19.79
Ukraine,Europe,13.5,12.42,11.54,12.21,12.5,10.95,9.89,9.42,10.76,10.05
United Arab Emirates,Asia,37.39,37.22,37.53,36.6,35.23,37.59,36.71,37.1,36.92,35.66
United Kingdom of Great Britain and Northern Ireland,Europe,12.74,12.9,11.73,11.38,10.55,10.68,9.84,9.7,9.71,9.17
United Republic of Tanzania,Africa,10.73,10.77,10.88,10.83,10.83,10.99,11.04,10.63,10.89,10.79
United States of America,America,9.14,9.24,8.93,8.64,8.48,8.21,7.44,7.84,8.0,7.07
Uruguay,America,6.96,7.02,6.78,7.52,7.33,7.66,7.55,6.94,6.56,6.67
Uzbekistan,Asia,34.88,37.03,38.94,35.93,35.74,35.69,33.46,32.02,32.57,29.83
Vanuatu,Oceania,3.23,2.97,3.16,3.17,2.97,3.29,3.07,2.84,3.16,3.25
Venezuela (Bolivarian Republic of),America,14.6,15.08,14.9,15.35,14.56,14.42,14.06,13.71,12.5,11.55
Viet Nam,Asia,16.93,16.31,17.44,18.21,16.06,16.11,17.96,16.27,16.58,16.58
Yemen,Asia,13.65,14.2,14.59,14.21,13.57,14.2,13.91,14.26,14.37,14.4
Zambia,Africa,7.63,7.71,7.8,7.68,7.7,7.75,7.7,7.66,7.65,7.65
Zimbabwe,Africa,7.11,7.11,7.09,7.05,7.07,7.12,7.05,7.08,7.07,7.05
