IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,SLE,Sierra Leone,Year,2019,true,Sex,Female,FMLE,Cause,Chronic obstructive pulmonary disease,ENVCAUSE118,,,,,,,73.23,,,23.01,,144.7,73.23 [23.01 – 144.7],,,EN,2022-08-25T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,IRL,Ireland,Year,2019,true,Sex,Female,FMLE,Cause,Stroke,ENVCAUSE114,,,,,,,73.27,,,25.38,,140.1,73.27 [25.38 – 140.1],,,EN,2022-08-25T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,GEO,Georgia,Year,2019,true,Sex,Female,FMLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,73.36,,,38.93,,113.1,73.36 [38.93 – 113.1],,,EN,2022-08-25T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2019,true,Sex,Female,FMLE,Cause,Chronic obstructive pulmonary disease,ENVCAUSE118,,,,,,,73.56,,,14.17,,173.6,73.56 [14.17 – 173.6],,,EN,2022-08-25T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2019,true,Sex,Male,MLE,Cause,Ischaemic heart disease,ENVCAUSE113,,,,,,,73.62,,,0,,134.5,73.62 [0 – 134.5],,,EN,2022-08-25T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2019,true,Sex,Female,FMLE,Cause,Stroke,ENVCAUSE114,,,,,,,730.1,,,268.5,,1274,730.1 [268.5 – 1274],,,EN,2022-08-25T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,DZA,Algeria,Year,2019,true,Sex,Male,MLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,730.7,,,333.3,,1139,730.7 [333.3 – 1139],,,EN,2022-08-25T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2019,true,Sex,Female,FMLE,Cause,Chronic obstructive pulmonary disease,ENVCAUSE118,,,,,,,730.9,,,277.9,,1365,730.9 [277.9 – 1365],,,EN,2022-08-25T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,NER,Niger,Year,2019,true,Sex,Male,MLE,Cause,Stroke,ENVCAUSE114,,,,,,,732.4,,,358.6,,1249,732.4 [358.6 – 1249],,,EN,2022-08-25T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,AMR,Americas,Country,JAM,Jamaica,Year,2019,true,Sex,Both sexes,BTSX,Cause,Total,ENVCAUSE000,,,,,,,733.2,,,522.6,,968.1,733.2 [522.6 – 968.1],,,EN,2022-08-25T22:00:00.000Z
